restaurante_id,articulo_id,precio
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8a8,5.01
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8a9,9.81
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8aa,24.31
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8ab,4.35
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8ac,3.44
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8ad,2.89
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8ae,23.14
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8af,7.28
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8b0,14.79
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8b1,15.91
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8b2,15.46
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8b3,24.94
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8b4,13.47
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8b5,11.41
681984fa7e1f55f7e877f4c0,681984ff7e1f55f7e877f8b6,4.09
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8b7,4.55
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8b8,15.33
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8b9,28.37
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8ba,24.02
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8bb,8.53
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8bc,3.35
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8bd,19.69
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8be,10.93
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8bf,3.74
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8c0,4.19
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8c1,22.88
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8c2,6.7
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8c3,20.95
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8c4,3.98
681984fa7e1f55f7e877f4c1,681984ff7e1f55f7e877f8c5,28.97
681984fa7e1f55f7e877f4c2,681984ff7e1f55f7e877f8c6,26.48
681984fa7e1f55f7e877f4c2,681984ff7e1f55f7e877f8c7,10.36
681984fa7e1f55f7e877f4c2,681984ff7e1f55f7e877f8c8,27.75
681984fa7e1f55f7e877f4c2,681984ff7e1f55f7e877f8c9,12.16
681984fa7e1f55f7e877f4c2,681984ff7e1f55f7e877f8ca,9.72
