orden_id,usuario_id,restaurante_id,fecha_pedido
681985027e1f55f7e8783340,681984f37e1f55f7e877ee89,681984fa7e1f55f7e877f582,2025-02-18T11:00:12.472307
681985027e1f55f7e8783341,681984f37e1f55f7e877e618,681984fa7e1f55f7e877f74c,2024-11-11T15:46:15.509021
681985027e1f55f7e8783342,681984f37e1f55f7e877dd63,681984fa7e1f55f7e877f6ca,2025-03-25T04:08:27.576071
681985027e1f55f7e8783343,681984f37e1f55f7e877ea25,681984fa7e1f55f7e877f523,2024-12-22T17:42:03.350924
681985027e1f55f7e8783344,681984f37e1f55f7e877e043,681984fa7e1f55f7e877f648,2025-04-27T23:15:52.272974
681985027e1f55f7e8783345,681984f37e1f55f7e877d139,681984fa7e1f55f7e877f6a5,2024-11-17T18:24:43.750540
681985027e1f55f7e8783346,681984f37e1f55f7e877d874,681984fa7e1f55f7e877f4e9,2024-11-12T03:57:33.125517
681985027e1f55f7e8783347,681984f37e1f55f7e877d638,681984fa7e1f55f7e877f6be,2025-04-24T19:58:29.209712
681985027e1f55f7e8783348,681984f37e1f55f7e877dbb9,681984fa7e1f55f7e877f86a,2024-11-26T00:45:24.710940
681985027e1f55f7e8783349,681984f37e1f55f7e877e53b,681984fa7e1f55f7e877f640,2025-03-02T03:28:11.698043
681985027e1f55f7e878334a,681984f37e1f55f7e877dc31,681984fa7e1f55f7e877f86c,2025-03-06T14:52:39.094853
681985027e1f55f7e878334b,681984f37e1f55f7e877e6ab,681984fa7e1f55f7e877f519,2025-03-06T22:55:26.257217
681985027e1f55f7e878334c,681984f37e1f55f7e877f140,681984fa7e1f55f7e877f704,2025-03-30T04:25:28.208575
681985027e1f55f7e878334d,681984f37e1f55f7e877f1c1,681984fa7e1f55f7e877f6f2,2024-11-15T14:27:46.960111
681985027e1f55f7e878334e,681984f37e1f55f7e877ea46,681984fa7e1f55f7e877f714,2025-01-02T23:03:35.689559
681985027e1f55f7e878334f,681984f37e1f55f7e877eac5,681984fa7e1f55f7e877f4e3,2025-02-28T22:11:50.107491
681985027e1f55f7e8783350,681984f37e1f55f7e877ef81,681984fa7e1f55f7e877f545,2025-01-23T19:38:33.528924
681985027e1f55f7e8783351,681984f37e1f55f7e877e8f1,681984fa7e1f55f7e877f4c6,2025-01-18T07:56:25.130481
681985027e1f55f7e8783352,681984f37e1f55f7e877ed90,681984fa7e1f55f7e877f5ef,2024-12-24T10:22:27.564423
681985027e1f55f7e8783353,681984f37e1f55f7e877f124,681984fa7e1f55f7e877f5ae,2025-03-31T04:26:40.683006
681985027e1f55f7e8783354,681984f37e1f55f7e877da9a,681984fa7e1f55f7e877f86c,2025-01-06T15:36:09.336370
681985027e1f55f7e8783355,681984f37e1f55f7e877dee8,681984fa7e1f55f7e877f715,2025-04-15T06:03:42.974767
681985027e1f55f7e8783356,681984f37e1f55f7e877e882,681984fa7e1f55f7e877f786,2025-02-25T18:23:37.017781
681985027e1f55f7e8783357,681984f37e1f55f7e877f17c,681984fa7e1f55f7e877f6f3,2024-12-30T13:10:55.627372
681985027e1f55f7e8783358,681984f37e1f55f7e877e586,681984fa7e1f55f7e877f58e,2024-11-30T07:27:15.457429
681985027e1f55f7e8783359,681984f37e1f55f7e877f432,681984fa7e1f55f7e877f766,2024-12-27T17:19:52.758946
681985027e1f55f7e878335a,681984f37e1f55f7e877e034,681984fa7e1f55f7e877f5f1,2025-04-14T05:01:21.019672
681985027e1f55f7e878335b,681984f37e1f55f7e877d97d,681984fa7e1f55f7e877f835,2025-01-26T06:49:28.240092
681985027e1f55f7e878335c,681984f37e1f55f7e877d860,681984fa7e1f55f7e877f819,2024-11-18T09:33:47.717118
681985027e1f55f7e878335d,681984f37e1f55f7e877d96e,681984fa7e1f55f7e877f774,2025-05-03T10:59:43.823741
681985027e1f55f7e878335e,681984f37e1f55f7e877d5da,681984fa7e1f55f7e877f76c,2025-02-26T01:32:26.311424
681985027e1f55f7e878335f,681984f37e1f55f7e877ec33,681984fa7e1f55f7e877f64b,2024-11-20T15:52:18.804635
681985027e1f55f7e8783360,681984f37e1f55f7e877d2b2,681984fa7e1f55f7e877f73c,2024-11-28T06:19:55.905500
681985027e1f55f7e8783361,681984f37e1f55f7e877e7ff,681984fa7e1f55f7e877f815,2025-01-10T04:50:11.039636
681985027e1f55f7e8783362,681984f37e1f55f7e877ecfc,681984fa7e1f55f7e877f6de,2025-01-23T18:16:54.669608
681985027e1f55f7e8783363,681984f37e1f55f7e877d5ce,681984fa7e1f55f7e877f7fc,2025-02-14T22:56:37.787702
681985027e1f55f7e8783364,681984f37e1f55f7e877df60,681984fa7e1f55f7e877f5cd,2025-01-23T01:30:25.922174
681985027e1f55f7e8783365,681984f37e1f55f7e877d26f,681984fa7e1f55f7e877f52f,2025-02-28T13:47:16.956406
681985027e1f55f7e8783366,681984f37e1f55f7e877ed6c,681984fa7e1f55f7e877f624,2025-04-01T03:07:16.020342
681985027e1f55f7e8783367,681984f37e1f55f7e877f30c,681984fa7e1f55f7e877f59c,2024-12-31T13:25:52.589131
681985027e1f55f7e8783368,681984f37e1f55f7e877ec48,681984fa7e1f55f7e877f5f3,2025-02-13T15:40:09.178760
681985027e1f55f7e8783369,681984f37e1f55f7e877ee3a,681984fa7e1f55f7e877f555,2024-12-28T13:36:30.133337
681985027e1f55f7e878336a,681984f37e1f55f7e877d018,681984fa7e1f55f7e877f85a,2025-01-20T16:21:24.621118
681985027e1f55f7e878336b,681984f37e1f55f7e877e281,681984fa7e1f55f7e877f628,2025-04-12T14:18:00.191020
681985027e1f55f7e878336c,681984f37e1f55f7e877d0e6,681984fa7e1f55f7e877f510,2025-03-17T03:57:51.781324
681985027e1f55f7e878336d,681984f37e1f55f7e877ce53,681984fa7e1f55f7e877f727,2024-12-28T04:35:01.737736
681985027e1f55f7e878336e,681984f37e1f55f7e877d33a,681984fa7e1f55f7e877f820,2025-04-06T01:52:22.759577
681985027e1f55f7e878336f,681984f37e1f55f7e877e9a0,681984fa7e1f55f7e877f5c7,2024-12-14T12:37:53.177477
681985027e1f55f7e8783370,681984f37e1f55f7e877ded8,681984fa7e1f55f7e877f590,2024-12-18T01:28:54.524625
681985027e1f55f7e8783371,681984f37e1f55f7e877dbd4,681984fa7e1f55f7e877f4e6,2025-04-02T14:56:04.664115
